mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex
101-126860-0019_5767-48579-0004_7188-107627-0024,101,M,5767,M,7188,M
5914-52088-0061_7297-92812-0018_3979-10702-0051,5914,M,7297,F,3979,F
1025-92814-0030_954-130627-0015_1634-141571-0023,1025,M,954,M,1634,M
4236-8927-0078_6505-231836-0027_1859-145700-0008,4236,M,6505,F,1859,F
1769-143484-0023_6499-87508-0004_8591-284444-0036,1769,M,6499,M,8591,F
7657-104717-0042_7825-258970-0033_126-122467-0018,7657,F,7825,M,126,F
7518-86741-0086_217-122443-0060_8152-258974-0026,7518,M,217,F,8152,M
7258-91902-0030_207-131203-0012_3490-177638-0011,7258,M,207,M,3490,M
2696-157636-0030_1025-92814-0031_2577-157236-0090,2696,M,1025,M,2577,F
2039-141209-0003_208-126600-0022_1060-134451-0091,2039,M,208,F,1060,F
2404-141242-0051_81-121543-0094_4899-32637-0012,2404,M,81,M,4899,F
2517-135229-0032_4495-10160-0015_5622-44586-0006,2517,M,4495,M,5622,F
5809-51162-0031_2053-138888-0008_8474-281188-0006,5809,F,2053,F,8474,M
3289-171109-0023_5746-48362-0035_8193-116804-0059,3289,M,5746,M,8193,F
8479-276730-0024_1779-142733-0029_4681-13056-0078,8479,M,1779,F,4681,M
764-132272-0013_4590-18004-0008_1283-129808-0037,764,M,4590,M,1283,M
6288-63105-0035_5570-73847-0016_7000-83706-0001,6288,F,5570,F,7000,M
8742-245708-0046_8388-275212-0052_6494-60801-0024,8742,M,8388,F,6494,M
3025-12971-0095_242-122627-0034_4733-6398-0021,3025,F,242,F,4733,M
2093-143264-0023_815-130569-0000_3258-169291-0010,2093,M,815,M,3258,F
639-124526-0035_5810-8689-0029_1547-130184-0050,639,M,5810,M,1547,F
101-126860-0022_3446-176270-0014_6993-83606-0023,101,M,3446,F,6993,M
7909-106370-0003_2110-161102-0003_2167-149880-0055,7909,M,2110,M,2167,M
2654-158744-0015_209-157830-0018_8684-293663-0069,2654,M,209,F,8684,F
4438-48525-0008_6492-68369-0053_920-681-0007,4438,M,6492,M,920,F
5190-87791-0008_6189-64708-0053_922-132300-0031,5190,M,6189,F,922,M
9026-282386-0038_1913-147990-0025_408-122806-0030,9026,F,1913,M,408,F
3790-140725-0031_6993-83606-0042_5206-19376-0022,3790,F,6993,M,5206,M
3003-14274-0075_79-121541-0100_7085-2327-0003,3003,F,79,F,7085,M
1343-158781-0016_4681-13056-0044_329-861-0005,1343,F,4681,M,329,M
4586-61776-0028_3645-39840-0000_7126-59167-0003,4586,M,3645,F,7126,M
5731-50778-0020_7932-93470-0020_8705-290363-0038,5731,F,7932,F,8705,M
5123-29120-0035_6352-83633-0035_3046-137739-0061,5123,M,6352,F,3046,F
1472-285314-0028_225-131259-0034_6637-71405-0014,1472,F,225,F,6637,F
3493-17615-0010_7932-93470-0017_5570-73848-0029,3493,F,7932,F,5570,F
1987-144135-0107_4044-9010-0107_7555-105394-0048,1987,M,4044,F,7555,F
3945-29110-0015_1392-135654-0013_8050-110238-0049,3945,M,1392,M,8050,M
296-129659-0032_8410-278220-0046_4731-95875-0026,296,M,8410,F,4731,F
1874-143361-0016_8592-285135-0051_3221-9174-0020,1874,M,8592,M,3221,M
1460-138289-0032_8820-294114-0045_3792-176660-0016,1460,F,8820,M,3792,M
6406-89940-0046_8464-282934-0021_7874-110243-0015,6406,F,8464,M,7874,M
1958-144503-0105_1801-138032-0022_318-124164-0024,1958,M,1801,M,318,F
1987-144135-0035_5290-39475-0020_8820-294113-0019,1987,M,5290,F,8820,M
5810-8689-0044_5723-43296-0015_154-293987-0031,5810,M,5723,F,154,M
1025-92820-0021_954-130627-0049_671-131040-0019,1025,M,954,M,671,M
707-161166-0021_5538-64717-0036_1849-138063-0021,707,M,5538,F,1849,M
464-126794-0020_3361-1150-0031_6233-61743-0009,464,M,3361,F,6233,F
7949-39970-0036_176-123270-0029_7437-99249-0031,7949,M,176,M,7437,M
1401-14358-0009_5684-46243-0025_100-122655-0021,1401,F,5684,F,100,F
593-126929-0037_7398-98877-0006_4246-12545-0030,593,M,7398,F,4246,M
2816-156159-0047_16-122828-0018_2827-170440-0023,2816,M,16,F,2827,M
1054-143005-0105_476-134312-0017_979-128677-0008,1054,F,476,M,979,F
7297-92812-0026_339-132717-0009_8635-295756-0039,7297,F,339,F,8635,M
6330-62851-0021_803-139743-0022_2269-165387-0007,6330,M,803,M,2269,F
56-1733-0007_6553-82558-0047_4719-25766-0000,56,F,6553,M,4719,M
7828-105179-0044_5731-50777-0001_803-139752-0038,7828,M,5731,F,803,M
4681-13056-0060_1058-131113-0069_1413-121799-0097,4681,M,1058,M,1413,M
1552-140651-0014_724-123283-0006_7555-105394-0050,1552,M,724,M,7555,F
7342-73961-0024_5656-44577-0040_3792-176660-0047,7342,F,5656,M,3792,M
154-124003-0014_3717-178149-0003_948-132707-0027,154,M,3717,M,948,F
1160-139336-0002_8527-281131-0011_8591-284445-0004,1160,M,8527,M,8591,F
225-131276-0023_5802-76044-0003_4013-11734-0043,225,F,5802,M,4013,M
986-129388-0040_5909-287837-0024_8725-294554-0032,986,M,5909,M,8725,M
7286-92930-0022_4860-13185-0057_472-130755-0006,7286,F,4860,M,472,F
7090-91801-0062_8195-117382-0076_7766-275147-0024,7090,M,8195,M,7766,F
1001-134707-0008_4427-20023-0009_2992-164101-0044,1001,M,4427,F,2992,M
3185-163505-0033_3493-17615-0000_8855-283242-0007,3185,M,3493,F,8855,M
2401-144485-0030_192-128344-0018_288-121741-0005,2401,F,192,F,288,F
2498-134816-0028_3072-155949-0002_4434-73958-0044,2498,F,3072,M,4434,F
6865-95969-0032_5635-58137-0028_559-289453-0030,6865,F,5635,M,559,M
100-122655-0040_7569-102240-0036_64-76974-0024,100,F,7569,M,64,F
5717-100145-0001_7085-75807-0035_1547-130184-0027,5717,M,7085,M,1547,F
5246-30101-0027_2816-156159-0020_4733-6398-0034,5246,M,2816,M,4733,M
1556-139350-0014_9023-296468-0014_409-124990-0073,1556,M,9023,F,409,M
4013-182396-0029_979-128678-0015_6104-58845-0040,4013,M,979,F,6104,F
7069-246904-0024_3922-715-0037_288-121741-0006,7069,M,3922,F,288,F
1165-135216-0043_830-130728-0032_2319-138631-0039,1165,M,830,F,2319,M
2085-147970-0021_6686-216563-0011_8113-301694-0021,2085,F,6686,M,8113,F
1018-133447-0052_3228-4691-0042_8225-274374-0020,1018,M,3228,F,8225,M
4098-11546-0014_548-126959-0030_6538-81858-0029,4098,F,548,M,6538,M
2971-4275-0108_5092-28465-0072_5656-44576-0014,2971,M,5092,M,5656,M
7938-109179-0012_2638-10172-0084_2654-158744-0065,7938,M,2638,F,2654,M
7117-86710-0030_5935-43322-0034_409-124990-0064,7117,F,5935,M,409,M
5154-6174-0045_984-137154-0008_7967-117095-0032,5154,F,984,M,7967,F
1058-133263-0034_4148-134149-0001_6683-63841-0029,1058,M,4148,M,6683,F
3118-5912-0008_511-131228-0077_3448-5416-0004,3118,M,511,M,3448,M
5914-52088-0010_6426-64292-0019_3119-163527-0063,5914,M,6426,F,3119,F
1789-142896-0017_1175-126221-0003_8190-284434-0020,1789,M,1175,M,8190,F
3082-165428-0076_4425-14497-0028_3389-13247-0017,3082,M,4425,M,3389,M
5126-27504-0019_1779-142733-0027_2815-160188-0068,5126,M,1779,F,2815,M
81-121543-0030_192-128345-0022_5660-101884-0010,81,M,192,F,5660,F
4434-73957-0042_337-123025-0026_4731-95870-0028,4434,F,337,F,4731,F
6235-36641-0090_5570-73847-0024_8771-294523-0059,6235,F,5570,F,8771,F
1874-143361-0017_2769-176256-0024_1390-130493-0022,1874,M,2769,M,1390,F
5975-54006-0075_8142-110520-0010_8404-282926-0025,5975,M,8142,M,8404,F
1390-130493-0012_3792-176660-0013_81-121543-0028,1390,F,3792,M,81,M
5883-59268-0047_2570-157243-0065_278-127215-0081,5883,M,2570,F,278,F
1607-149245-0022_3448-5417-0010_1641-130504-0012,1607,M,3448,M,1641,F
1066-4479-0026_454-134728-0006_2971-4275-0097,1066,F,454,M,2971,M
2411-132532-0027_2696-157636-0076_8401-280380-0001,2411,F,2696,M,8401,M
8718-295445-0027_1053-132850-0001_6550-53343-0019,8718,F,1053,F,6550,M
8771-294523-0017_323-126408-0032_8643-269254-0019,8771,F,323,F,8643,M
7995-276907-0001_2570-157243-0083_548-126959-0019,7995,F,2570,F,548,M
5386-8684-0042_4770-25951-0098_8592-285135-0043,5386,M,4770,F,8592,M
6690-73075-0032_3551-7887-0001_6215-62347-0054,6690,M,3551,F,6215,F
439-122810-0005_1349-135891-0007_949-134657-0006,439,M,1349,M,949,M
1482-140071-0028_5723-43306-0037_6288-63105-0036,1482,M,5723,F,6288,F
1987-144135-0033_2696-157636-0066_7229-80665-0022,1987,M,2696,M,7229,F
7313-91072-0077_8404-282926-0035_7120-76055-0039,7313,M,8404,F,7120,F
3072-155948-0029_3446-144019-0025_4957-36386-0028,3072,M,3446,F,4957,F
850-131004-0011_4111-184447-0020_6683-63839-0006,850,M,4111,F,6683,F
