mixture_ID,primary_speaker,source_1_path,source_1_start,source_1_gain,source_2_path,source_2_start,source_2_gain,source_3_path,source_3_start,source_3_gain,noise_path,noise_gain
8630-305213-0013_8609-262281-0038_27-123349-0058,8630,train-clean-100/8630/305213/8630-305213-0013.flac,10927,0.8333777759260584,train-clean-100/8609/262281/8609-262281-0038.flac,8778,1.1175619245288562,train-clean-100/27/123349/27-123349-0058.flac,118675,0.6785727747151874,tr/665.flac,0.09577295925045941
3526-176653-0036_6563-285357-0016_4397-15666-0008,3526,train-clean-100/3526/176653/3526-176653-0036.flac,154074,1.972206237895372,train-clean-100/6563/285357/6563-285357-0016.flac,3833,0.5845080628171142,train-clean-100/4397/15666/4397-15666-0008.flac,109404,0.8804546573514358,tr/2441.flac,0.0815108414973903
2196-170379-0023_839-130898-0034_3664-178355-0032,2196,train-clean-100/2196/170379/2196-170379-0023.flac,62797,0.3448933364924675,train-clean-100/839/130898/839-130898-0034.flac,76637,0.5026747622407256,train-clean-100/3664/178355/3664-178355-0032.flac,80776,0.57315039519422,tr/465.flac,0.20246742813041357
4088-158077-0044_19-198-0032_1355-39947-0093,4088,train-clean-100/4088/158077/4088-158077-0044.flac,116719,0.4437977631090328,train-clean-100/19/198/19-198-0032.flac,82171,0.5741108687735498,train-clean-100/1355/39947/1355-39947-0093.flac,49354,0.5363778470749129,tr/6706.flac,0.08109834062769618
4680-16042-0035_8238-283452-0019_298-126791-0005,4680,train-clean-100/4680/16042/4680-16042-0035.flac,80442,0.7129382506141303,train-clean-100/8238/283452/8238-283452-0019.flac,21971,0.7425199092622389,train-clean-100/298/126791/298-126791-0005.flac,4565,0.6818719594915528,tr/7522.flac,0.12854115665446014
3168-173564-0021_5808-54425-0013_2182-150130-0033,3168,train-clean-100/3168/173564/3168-173564-0021.flac,51676,0.9195560852581807,train-clean-100/5808/54425/5808-54425-0013.flac,128637,0.4457360813894271,train-clean-100/2182/150130/2182-150130-0033.flac,88364,0.8605722188983089,tr/7460.flac,0.11055828656941967
163-122947-0054_7312-92432-0015_6081-42010-0015,163,train-clean-100/163/122947/163-122947-0054.flac,70783,1.9114713721826038,train-clean-100/7312/92432/7312-92432-0015.flac,2123,0.46831038235929345,train-clean-100/6081/42010/6081-42010-0015.flac,44133,0.4899022622724198,tr/6869.flac,0.20345434636977766
8014-112586-0020_3235-28452-0011_3699-19402-0006,8014,train-clean-100/8014/112586/8014-112586-0020.flac,6427,0.914001344315533,train-clean-100/3235/28452/3235-28452-0011.flac,41540,0.4021416885906936,train-clean-100/3699/19402/3699-19402-0006.flac,73852,0.6034513143609125,tr/4470.flac,0.14909379231310313
8238-283452-0014_6367-65536-0008_8465-246942-0026,8238,train-clean-100/8238/283452/8238-283452-0014.flac,10662,0.5645343678266749,train-clean-100/6367/65536/6367-65536-0008.flac,81077,0.20719258581996688,train-clean-100/8465/246942/8465-246942-0026.flac,34392,0.7691747552557247,tr/81.flac,0.1899711324180946
6563-285357-0032_2436-2476-0005_6181-216552-0100,6563,train-clean-100/6563/285357/6563-285357-0032.flac,63756,0.6332651957595975,train-clean-100/2436/2476/2436-2476-0005.flac,1091,1.1994377321142522,train-clean-100/6181/216552/6181-216552-0100.flac,86375,0.44341191707298,tr/1265.flac,0.1877363914828446
