mixture_ID,primary_speaker,source_1_path,source_1_start,source_1_gain,source_2_path,source_2_start,source_2_gain,noise_path,noise_gain
4362-15663-0055_3240-131231-0000,4362,train-clean-100/4362/15663/4362-15663-0055.flac,22781,0.8315080981409352,train-clean-100/3240/131231/3240-131231-0000.flac,5017,0.38527607895799143,tr_aug/3630.flac,0.10183759741749586
328-129766-0080_6367-65536-0008,328,train-clean-100/328/129766/328-129766-0080.flac,32640,0.5656047495802086,train-clean-100/6367/65536/6367-65536-0008.flac,39345,0.37153927064018233,tr_aug/1683.flac,0.19829303021532071
289-121665-0011_2764-36616-0010,289,train-clean-100/289/121665/289-121665-0011.flac,6867,0.3772950732459998,train-clean-100/2764/36616/2764-36616-0010.flac,36053,1.0207825852670795,tr/7323.flac,0.20712898652917328
1034-121119-0073_6454-107462-0030,1034,train-clean-100/1034/121119/1034-121119-0073.flac,113737,0.43391898589967914,train-clean-100/6454/107462/6454-107462-0030.flac,103299,0.5959219338174656,tr_aug/8585.flac,0.1775345351146031
7148-82991-0010_481-123719-0017,7148,train-clean-100/7148/82991/7148-82991-0010.flac,13506,0.47066759816315074,train-clean-100/481/123719/481-123719-0017.flac,6406,0.4369820411273529,tr/1023.flac,0.08779887854891114
3112-9555-0034_1455-138263-0004,3112,train-clean-100/3112/9555/3112-9555-0034.flac,43434,0.5679480442992737,train-clean-100/1455/138263/1455-138263-0004.flac,152035,0.7910671342537717,tr/9622.flac,0.2029181720471487
8312-279790-0029_2893-139310-0005,8312,train-clean-100/8312/279790/8312-279790-0029.flac,81607,0.6533480799952157,train-clean-100/2893/139310/2893-139310-0005.flac,147944,0.8408195403750759,tr/574.flac,0.18135818725633016
1898-145720-0018_4441-76263-0029,1898,train-clean-100/1898/145720/1898-145720-0018.flac,33946,1.1897816598435722,train-clean-100/4441/76263/4441-76263-0029.flac,172743,0.5861797926819272,tr_aug/10963.flac,0.13217393961683238
4195-186237-0012_1183-133256-0003,4195,train-clean-100/4195/186237/4195-186237-0012.flac,13767,0.459758938190031,train-clean-100/1183/133256/1183-133256-0003.flac,213593,0.8955883979565646,tr/10039.flac,0.17111328343529073
5022-29411-0021_6437-66173-0060,5022,train-clean-100/5022/29411/5022-29411-0021.flac,13804,0.34639573129280626,train-clean-100/6437/66173/6437-66173-0060.flac,71028,0.3891243659323137,tr_aug/8901.flac,0.12195834560792342
8975-270782-0000_5049-25947-0078,8975,train-clean-100/8975/270782/8975-270782-0000.flac,22781,0.4899989577113204,train-clean-100/5049/25947/5049-25947-0078.flac,5017,0.6316701803603431,tr_aug/8280.flac,0.4017099150428003
322-124147-0055_4788-91208-0026,322,train-clean-100/322/124147/322-124147-0055.flac,32640,0.7444780428032896,train-clean-100/4788/91208/4788-91208-0026.flac,39345,0.7040437491747628,tr/971.flac,0.1813960815994244
2514-149482-0012_374-180298-0024,2514,train-clean-100/2514/149482/2514-149482-0012.flac,137939,0.6035459668698503,train-clean-100/374/180298/374-180298-0024.flac,36053,0.7576981806917766,tr_aug/591.flac,0.18670055225437301
7517-100437-0001_5688-41232-0037,7517,train-clean-100/7517/100437/7517-100437-0001.flac,48201,0.7757672638136609,train-clean-100/5688/41232/5688-41232-0037.flac,13506,0.7856813516434289,tr_aug/5284.flac,0.14787729027593302
1455-134435-0050_8468-286673-0027,1455,train-clean-100/1455/134435/1455-134435-0050.flac,6406,0.7860110338858997,train-clean-100/8468/286673/8468-286673-0027.flac,174506,0.5189482535209137,tr_aug/3771.flac,0.1241116824121502
3168-173565-0042_6078-54007-0037,3168,train-clean-100/3168/173565/3168-173565-0042.flac,20963,0.6023758617021429,train-clean-100/6078/54007/6078-54007-0037.flac,86648,0.3710176959526252,tr_aug/901.flac,0.12571702925283348
1737-142396-0019_211-122425-0010,1737,train-clean-100/1737/142396/1737-142396-0019.flac,81607,0.39668488906409793,train-clean-100/211/122425/211-122425-0010.flac,53847,0.6905611771205676,tr_aug/20450.flac,0.16861769608278052
250-142276-0004_2989-138028-0016,250,train-clean-100/250/142276/250-142276-0004.flac,16872,0.3828729952755532,train-clean-100/2989/138028/2989-138028-0016.flac,33946,0.2912034672684414,tr_aug/18296.flac,0.0828417541280838
1098-133695-0063_6000-55211-0011,1098,train-clean-100/1098/133695/1098-133695-0063.flac,41671,0.48645058310204176,train-clean-100/6000/55211/6000-55211-0011.flac,13767,0.4493833795217492,tr/8261.flac,0.18797917675258
196-122152-0029_328-129766-0012,196,train-clean-100/196/122152/196-122152-0029.flac,13804,0.5140143049995151,train-clean-100/328/129766/328-129766-0012.flac,5492,0.4079260870618768,tr_aug/8452.flac,0.13477531084044614
3168-173565-0034_7635-105409-0049,3168,train-clean-100/3168/173565/3168-173565-0034.flac,22781,0.4615907054055826,train-clean-100/7635/105409/7635-105409-0049.flac,5017,0.4806131429215058,tr_aug/14338.flac,0.12091100955017839
7113-86041-0053_1578-140045-0007,7113,train-clean-100/7113/86041/7113-86041-0053.flac,32640,0.7625768790392017,train-clean-100/1578/140045/1578-140045-0007.flac,39345,1.0139273468732382,tr_aug/7376.flac,0.1589488693554522
3607-29116-0014_1088-134315-0029,3607,train-clean-100/3607/29116/3607-29116-0014.flac,225337,0.5672324958592571,train-clean-100/1088/134315/1088-134315-0029.flac,6867,0.8843765908676835,tr_aug/12975.flac,0.133776129279117
1723-141149-0024_1098-133695-0019,1723,train-clean-100/1723/141149/1723-141149-0024.flac,36053,1.036493780302195,train-clean-100/1098/133695/1098-133695-0019.flac,13506,0.7103217889110471,tr/3212.flac,0.14493253794732475
6181-216552-0071_8580-287363-0036,6181,train-clean-100/6181/216552/6181-216552-0071.flac,6406,0.5983916536969635,train-clean-100/8580/287363/8580-287363-0036.flac,43434,0.4048316197287691,tr_aug/10191.flac,0.20375710498723676
1363-135842-0016_6529-62556-0026,1363,train-clean-100/1363/135842/1363-135842-0016.flac,116272,0.6849190615091015,train-clean-100/6529/62556/6529-62556-0026.flac,20963,0.6320037229400064,tr_aug/11807.flac,0.21764263460843325
7264-92310-0029_3664-178366-0002,7264,train-clean-100/7264/92310/7264-92310-0029.flac,86648,0.32757487943701546,train-clean-100/3664/178366/3664-178366-0002.flac,53847,0.29010772851813854,tr_aug/17780.flac,0.12698529643900966
8014-112602-0019_8465-246940-0029,8014,train-clean-100/8014/112602/8014-112602-0019.flac,16872,0.3881739960216851,train-clean-100/8465/246940/8465-246940-0029.flac,33946,0.516241709293125,tr_aug/9018.flac,0.21258263159250454
2391-145015-0025_5339-14133-0015,2391,train-clean-100/2391/145015/2391-145015-0025.flac,172743,0.41658241004538693,train-clean-100/5339/14133/5339-14133-0015.flac,13767,0.6730432471492834,tr_aug/10520.flac,0.11378465631480188
